! Auto-generated by Reform.

MD5	fc65ad8d4588da92fd39871f6f7463db

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	obj23__LibraryMessages_
Object 24	obj24_On_the_Floor
Object 25	obj25_gold_watch
Object 26	obj26_gold_watch
Object 27	obj27__Not_Watch_
Object 28	obj28_Upstairs_Hallway
Object 29	obj29_blue_gumball
Object 30	obj30_little_toy_car
Object 31	obj31_little_gnome
Object 32	obj32_Kati_s_bedroom_door
Object 33	obj33_door_ledge
Object 34	obj34_wire_key
Object 35	obj35_Mark_s_Room
Object 36	obj36_clothes
Object 37	obj37_bed
Object 38	obj38_toys
Object 39	obj39_food
Object 40	obj40_bench
Object 41	obj41_wad_of_gooey_gum
Object 42	obj42_moldy_candy_bar
Object 43	obj43_silver_whistle
Object 44	obj44_black_cat
Object 45	obj45_Mark
Object 46	obj46_wooden_key
Object 47	obj47_Kati_s_Room
Object 48	obj48_mountain_of_clothing
Object 49	obj49_blue_ice_pack
Object 50	obj50_label
Object 51	obj51_closet
Object 52	obj52_toy_black_safe
Object 53	obj53_Master_Bedroom
Object 54	obj54_bed
Object 55	obj55_magazine
Object 56	obj56_wooden_dresser
Object 57	obj57_drawer
Object 58	obj58_pair_of_garden_gloves
Object 59	obj59_Master_Bathroom
Object 60	obj60_door_to_the_closet
Object 61	obj61_mirror
Object 62	obj62_Master_Closet
Object 63	obj63_stuff
Object 64	obj64_beat_up_old_bag
Object 65	obj65_ornate_box
Object 66	obj66_secret_trap_door
Object 67	obj67_Secret_Cellar
Object 68	obj68_green_gumball
Object 69	obj69_Kids__Bathroom
Object 70	obj70_towels
Object 71	obj71_toys
Object 72	obj72_some_water_on_the_floor
Object 73	obj73_shower_curtain
Object 74	obj74_shower
Object 75	obj75_bar_of_soap
Object 76	obj76_Empty_Room
Object 77	obj77_the_kids
Object 78	obj78_Inside_Somewhere
Object 79	obj79_door
Object 80	obj80_cauldrons
Object 81	obj81_books
Object 82	obj82_dusty_book
Object 83	obj83_equipment
Object 84	obj84_pencil_sketches
Object 85	obj85_table
Object 86	obj86_piece_of_paper
Object 87	obj87_dust
Object 88	obj88_stained_sketch
Object 89	obj89_Clearing
Object 90	obj90_pine
Object 91	obj91_boulder
Object 92	obj92_wildflowers
Object 93	obj93_bees
Object 94	obj94_Shady_Path
Object 95	obj95_shady_oaks
Object 96	obj96_Beaver_Dam
Object 97	obj97_wet_rock
Object 98	obj98_gnats
Object 99	obj99_chokecherry_bushes
Object 100	obj100_small_bunch_of_berries
Object 101	obj101_Trail
Object 102	obj102_Clear_Creek
Object 103	obj103_water
Object 104	obj104_magnetite
Object 105	obj105_some_brown_slurry
Object 106	obj106_gold_nugget
Object 107	obj107_Trail
Object 108	obj108_Trail
Object 109	obj109_sprig_of_sage
Object 110	obj110_sagebrush
Object 111	obj111_End_of_the_Trail
Object 112	obj112_weeping_willow_tree
Object 113	obj113_sign
Object 114	obj114_Box_Canyon
Object 115	obj115_Hole_in_the_Wall
Object 116	obj116_pile_of_rocks
Object 117	obj117_brown_bear
Object 118	obj118_Blind_Canyon
Object 119	obj119_Track_Crossing
Object 120	obj120_Train_Track
Object 121	obj121_tumbleweed
Object 122	obj122_reddish_thing
Object 123	obj123_handcar
Object 124	obj124_lever
Object 125	obj125_handle
Object 126	obj126_Broken_Bridge
Object 127	obj127_Broken_Track
Object 128	obj128_rail
Object 129	obj129_gap_in_track
Object 130	obj130_Narrow_Ravine
Object 131	obj131_rattlesnakes
Object 132	obj132_End_of_the_Line
Object 133	obj133_Sod_Shack
