! Auto-generated by Reform.

MD5	4c48ba2c5523d78c5f7f9b7809d16b1d

Object 1	Class
Object 2	Object
Object 3	Routine
Object 4	String
Object 5	CompassDirection
Object 6	obj6_compass
Object 7	obj7_north_wall
Object 8	obj8_south_wall
Object 9	obj9_east_wall
Object 10	obj10_west_wall
Object 11	obj11_northeast_wall
Object 12	obj12_northwest_wall
Object 13	obj13_southeast_wall
Object 14	obj14_southwest_wall
Object 15	obj15_ceiling
Object 16	obj16_floor
Object 17	obj17_outside
Object 18	obj18_inside
Object 19	obj19__darkness_object_
Object 20	obj20__self_object_
Object 21	obj21__Inform_Parser_
Object 22	obj22__Inform_Library_
Object 23	Character
Object 24	obj24__LibraryMessages_
Object 25	Menu
Object 26	LineGap
Object 27	HintOption
Object 28	SwitchOption
Object 29	obj29_Room
Object 30	obj30_Hint_Menu
Object 31	obj31_Dealing_With_Ms__Empirious
Object 32	obj32_Why_won_t_Ms__Empirious_let_me_into_her_classroom_
Object 33	obj33_What_gesture_of_courtesy_will_she_accept_
Object 34	obj34_I_knocked__but_she_still_won_t_let_me_in_
Object 35	obj35_If_I_ve_knocked__what_more_does_she_want_
Object 36	obj36_Where_is_Alicia_Aronstein_
Object 37	obj37_Does_Mr__McDell_know_where_she_is_
Object 38	obj38_Is_there_anyone_else_who_might_know_where_she_is_
Object 39	obj39_Where_could_Alicia_possibly_be_
Object 40	obj40_I_give_up___Where_is_she_
Object 41	obj41_But_I_can_t_get_to_Room_10__It_s_off_limits_
Object 42	obj42_Should_I_give_Andrea_a_candy_gram_
Object 43	obj43_Is_Joanie_s_claim_accurate_
Object 44	obj44_Will_I_run_out_of_candy_grams_for_others_if_I_give_one_to_Andrea_
Object 45	obj45_Will_I_cause_problems_later_if_I_give_Andrea_a_candy_gram_now_
Object 46	obj46_How_can_I_help_Mr__Pisces_
Object 47	obj47_Can_I_help_with_his_medical_problem_in_some_way_
Object 48	obj48_Is_there_anything_I_can_do_to_help_keep_his_spirits_up_
Object 49	obj49_Why_can_t_I_just_give_Mr__Pisces_a_candy_gram_
Object 50	obj50_How_can_I_get_a_candy_gram_to_Mr__Pisces_at_the_right_time_
Object 51	obj51_How_can_I_solve_Ms__Picasso_s__Prejudice__riddle_
Object 52	obj52_Who_can_help_me_with_this_puzzle_
Object 53	obj53_Can_anyone_else_help_
Object 54	obj54_What_s_going_on_in_the_last_line_of_the_poem_
Object 55	obj55_What_s_the__tiny_creature_of_great_grace__
Object 56	obj56_I_give_up___What_s_the_last_word_of_the_poem_
Object 57	obj57_How_can_I_solve_Ms__Garrulous__math_cake_problem_
Object 58	obj58_What_can_I_learn_from_the_expressions_that_are_outside_the_grid_
Object 59	obj59_How_are_the_outside_expressions_connected_to_the_inside_ones_
Object 60	obj60_Which_arithmetic_function_is_the_key_
Object 61	obj61_What_number_is_missing_from_the_lower_right_spot_in_the_grid_
Object 62	obj62_How_can_I_get_Queenie_to_say_more_
Object 63	obj63_How_can_I_get_Queenie_to_trust_me_
Object 64	obj64_Toward_whom_can_I_be_thoughtful_
Object 65	obj65_Is_there_anything_I_can_do_for_Queenie_herself_
Object 66	obj66_What_s_a_good_gift_of_welcome_
Object 67	obj67__67_
Object 68	NPC
Object 69	candygram
Object 70	coin
Object 71	Furniture
Object 72	obj72_pocket
Object 73	obj73_silver_coin
Object 74	obj74_silver_coin
Object 75	obj75_silver_coin
Object 76	obj76_silver_coin
Object 77	obj77_kids
Object 78	obj78_Ms__Empirious
Object 79	obj79_Ed_Dibbles
Object 80	obj80_Ms__Reunite
Object 81	obj81_Ms__Picasso
Object 82	obj82_rat
Object 83	obj83_Silas_Gibber
Object 84	obj84_Ms__Garrulous
Object 85	obj85_Danielle_DeJonses
Object 86	obj86_Ms__Fuerstein
Object 87	obj87_Andrea
Object 88	obj88_Joanie
Object 89	obj89_boy
Object 90	obj90_Alexis
Object 91	obj91_Stephanie
Object 92	obj92_Alicia_Aronstein
Object 93	obj93_Queenie
Object 94	obj94_Judy
Object 95	obj95_Mr__Pisces
Object 96	obj96_Meghan_Mascaras
