! Auto-generated by Reform.

MD5	5bcd91ee055e9bd42812617571be227b

Object 1	obj1_pair_of_hands
Object 2	obj2_zorkmid
Object 3	obj3_way
Object 4	obj4_cretin
Object 5	obj5_you
Object 6	obj6_blast_of_air
Object 7	obj7_lurking_grue
Object 8	obj8_ground
Object 9	obj9_sailor
Object 10	obj10_blessings
Object 11	obj11_such_thing
Object 12	obj12_random_object
Object 13	obj13_pseudo
Object 14	obj14_number
Object 15	obj15_compass
Object 16	obj16_footpad
Object 17	obj17_Room_of_Black_Mist
Object 18	obj18_Room_of_White_Mist
Object 19	obj19_Room_of_Blue_Mist
Object 20	obj20_sphere
Object 21	obj21_Room_of_Red_Mist
Object 22	obj22_Frobozz_Magic_Grue_Repellent
Object 23	obj23_sword
Object 24	obj24_Wizard_s_magic_wand
Object 25	obj25_Wizard_of_Frobozz
Object 26	obj26_demon
Object 27	obj27_perfect_rose
Object 28	obj28_ribbon
Object 29	obj29_delicate_gold_key
Object 30	obj30_quantity_of_salty_water
Object 31	obj31_quantity_of_water
Object 32	obj32_china_teapot
Object 33	obj33_place_mat
Object 34	obj34_newspaper
Object 35	obj35_blue_crystal_sphere
Object 36	obj36_rusty_iron_key
Object 37	obj37_letter_opener
Object 38	obj38_keyhole
Object 39	obj39_keyhole
Object 40	obj40_narrow_crack
Object 41	obj41_table
Object 42	obj42_metal_lid
Object 43	obj43_metal_lid
Object 44	obj44_Gnome_of_Zurich
Object 45	obj45_shimmering_curtain_of_light
Object 46	obj46_large_stone_cube
Object 47	obj47_bank_brochure
Object 48	obj48_portrait_of_J__Pierpont_Flathead
Object 49	obj49_stack_of_zorkmid_bills
Object 50	obj50_group_of_wooden_posts
Object 51	obj51_wooden_bucket
Object 52	obj52_black_string
Object 53	obj53_wall_with_etchings
Object 54	obj54_wall_with_etchings
Object 55	obj55_package_of_candy
Object 56	obj56_solid_steel_cage
Object 57	obj57_ruby
Object 58	obj58_robot
Object 59	obj59_receptacle
Object 60	obj60_white_book
Object 61	obj61_blue_book
Object 62	obj62_green_book
Object 63	obj63_purple_book
Object 64	obj64_Flathead_stamp
Object 65	obj65_priceless_zorkmid
Object 66	obj66_pool_of_tears
Object 67	obj67_leak
Object 68	obj68_cake_frosted_with_red_letters
Object 69	obj69_cake_frosted_with_orange_letters
Object 70	obj70_cake_frosted_with_blue_letters
Object 71	obj71_cake_frosted_with_green_letters
Object 72	obj72_pearl_necklace
Object 73	obj73_mangled_cage
Object 74	obj74_large_oblong_table
Object 75	obj75_broken_brass_lantern
Object 76	obj76_lamp
Object 77	obj77_hook
Object 78	obj78_hook
Object 79	obj79_hole
Object 80	obj80_green_piece_of_paper
Object 81	obj81_stoppered_glass_flask_filled_with_liquid
Object 82	obj82_glacier
Object 83	obj83_steel_box
Object 84	obj84_fancy_violin
Object 85	obj85_red_crystal_sphere
Object 86	obj86_gaudy_crown
Object 87	obj87_cloth_bag
Object 88	obj88_card
Object 89	obj89_triangular_button
Object 90	obj90_square_button
Object 91	obj91_round_button
Object 92	obj92_broken_balloon
Object 93	obj93_debris_from_an_explosion
Object 94	obj94_brick
Object 95	obj95_braided_wire
Object 96	obj96_box
Object 97	obj97_blue_label
Object 98	obj98_basket
Object 99	obj99_Volcano_Gnome
Object 100	obj100_Tiny_Room
Object 101	obj101_barred_window
Object 102	obj102_door_made_of_oak
Object 103	obj103_Dreary_Room
Object 104	obj104_table
Object 105	obj105_matchbook
Object 106	obj106_Chairman_s_Office
Object 107	obj107_Safety_Depository
Object 108	obj108_Vault
Object 109	obj109_Small_Room
Object 110	obj110_East_Viewing_Room
Object 111	obj111_West_Viewing_Room
Object 112	obj112_East_Teller_s_Room
Object 113	obj113_West_Teller_s_Room
Object 114	obj114_Bank_Entrance
Object 115	obj115_Pool_Room
Object 116	obj116_Posts_Room
Object 117	obj117_Tea_Room
Object 118	obj118_Circular_Room
Object 119	obj119_Top_of_Well
Object 120	obj120_Cage
Object 121	obj121_Dingy_Closet
Object 122	obj122_Machine_Room
Object 123	obj123_Low_Room
