! Auto-generated by Reform.

MD5	ad3cdea88d81033fe29167688bd98c31

Object 1	obj1_forest
Object 2	obj2_Dungeon
Object 3	obj3_bedpost
Object 4	obj4_water
Object 5	obj5_bare_hands_of_a_novice_enchanter
Object 6	obj6_map
Object 7	obj7_hills
Object 8	obj8_guncho_spell
Object 9	obj9_Mountain_Trail
Object 10	obj10_passage
Object 11	obj11_Necromancer_Belboz
Object 12	obj12_courtyard
Object 13	obj13_window
Object 14	obj14_badly_worn_pencil
Object 15	obj15_chains
Object 16	obj16_rainbow_turtle
Object 17	obj17_noise
Object 18	obj18_local_vegetation
Object 19	obj19_jug
Object 20	obj20_dusty_book
Object 21	obj21_you
Object 22	obj22_Courtyard
Object 23	obj23_Map_Room
Object 24	obj24_ornate_scroll
Object 25	obj25_scribbled_scroll
Object 26	obj26_banquet_candles
Object 27	obj27_Kitchen
Object 28	obj28_point_V
Object 29	obj29_hovel
Object 30	obj30_tangle_of_rope
Object 31	obj31_blinking_display
Object 32	obj32_Swamp
Object 33	obj33_lawn
Object 34	obj34_Translucent_Room
Object 35	obj35_Sacrificial_Altar
Object 36	obj36_stained_scroll
Object 37	obj37_sign
Object 38	obj38_turret
Object 39	obj39
Object 40	obj40_kulcad_spell
Object 41	obj41_loaf_of_bread
Object 42	obj42_Fork
Object 43	obj43_East_Hall
Object 44	obj44_adventurer
Object 45	obj45_Long_Road
Object 46	obj46_lurking_evil_presence
Object 47	obj47_Winding_Stair
Object 48	obj48_rainbow_turtle
Object 49	obj49_Lonely_Mountain
Object 50	obj50_warlock_Krill
Object 51	obj51_benches
Object 52	obj52_point_R
Object 53	obj53_cleesh_spell
Object 54	obj54_Cell
Object 55	obj55_cretin
Object 56	obj56_Translucent_Room
Object 57	obj57_castle
Object 58	obj58
Object 59	obj59_frotz_spell
Object 60	obj60_filfre_spell
Object 61	obj61_undergrowth
Object 62	obj62_frog
Object 63	obj63_square_block_of_stone
Object 64	obj64_North_Gate
Object 65	obj65_Tower
Object 66	obj66_Courtyard
Object 67	obj67_glowing_control
Object 68	obj68_point_P
Object 69	obj69_sleep
Object 70	obj70_Hall_of_Mirrors_Three
Object 71	obj71_brittle_scroll
Object 72	obj72_heap_of_garbage
Object 73	obj73_Legend_of_the_Great_Implementers
Object 74	obj74_road
Object 75	obj75_sky
Object 76	obj76
Object 77	obj77_West_Hall
Object 78	obj78_izyuk_spell
Object 79	obj79_random_object
Object 80	obj80_gnusto_spell
Object 81	obj81_gondar_spell
Object 82	obj82_castle_wall
Object 83	obj83_black_passage
Object 84	obj84_nitfol_spell
Object 85	obj85_oven
Object 86	obj86_point_M
Object 87	obj87_Cell
Object 88	obj88_pedestal
Object 89	obj89_Shady_Brook
Object 90	obj90_machinery
Object 91	obj91_point_K
Object 92	obj92_Beach
Object 93	obj93_oven
Object 94	obj94_battered_lantern
Object 95	obj95_Forest
Object 96	obj96_Trail
Object 97	obj97_adventurer
Object 98	obj98_flotsam
Object 99	obj99_Cell
Object 100	obj100_statue
Object 101	obj101_Outside_Gate
Object 102	obj102_Trail_Head
Object 103	obj103_Closet
